date,added,deleted,commits
2011-06-05,3240066,444791,23282
2011-06-27,27129,7089,221
2011-07-05,3027,27,158
2011-10-31,558019,519830,1428
2011-11-05,2,2,1
2011-11-09,205,104,3
2011-11-10,5,2,3
2011-11-12,4,2,1
2011-11-13,3,3,2
2011-11-16,21,35,2
2011-11-21,3,3,2
2011-11-23,181,37,12
2011-11-24,12,10,5
2011-12-04,52,432,45
2011-12-29,4,4,2
2012-01-11,2478,773,101
2012-01-19,3565,9427,95
2012-01-20,3,5,1
2012-01-23,1,1,1
2012-01-24,132,1022,19
2012-01-25,942,233,15
2012-01-27,3941,5426,65
2012-01-28,1,1,1
2012-01-31,42,29,10
2012-02-01,73,83,20
2012-02-08,133,8,7
2012-02-09,163,1260306,4382
2012-02-10,1174,608,23
2012-02-12,2,2,4
2012-02-13,1,1,1
2012-02-15,78,42,10
2012-02-16,248,93,13
2012-02-22,327,665164,2246
2012-02-23,2,2,1
2012-02-29,193,90,26
2012-03-01,3360,988478,2204
2012-03-02,49,37,10
2012-03-12,99,59,8
2012-03-15,1023,1162,61
2012-03-20,403,293,67
2012-03-21,138,29,10
2012-03-24,723,728,66
2012-03-27,2236,1491,115
2012-03-28,1090,634,67
2012-03-29,11,7,6
2012-03-30,292188,293380,1065
2012-04-07,71,4,2
2012-04-19,397,306,14
2012-04-24,72,38,3
2012-04-25,350,161,18
2012-04-30,2673,2308,80
2012-05-09,3,1,1
2012-05-14,2248,267,38
2012-05-15,45478,32,82
2012-05-22,443,9,7
2012-05-23,359,86,14
2012-05-24,556,138,18
2012-05-25,19,13,4
2012-05-30,1104,40,23
2012-05-31,16,42,6
2012-06-19,333,11,13
2012-07-09,824,422,34
2012-07-10,3258,592,56
2012-07-11,7055,1690,164
2012-07-12,601,4668,149
2012-07-13,696,214,26
2012-07-14,45,26,8
2012-07-16,15,10,1
2012-07-20,259,61,14
2012-07-23,163,85,16
2012-07-24,4,0,1
2012-07-31,437,71,13
2012-08-02,1548,375,23
2012-08-03,460,30,13
2012-08-06,223,110,7
2012-08-07,2702,144,39
2012-08-08,718,264,32
2012-08-09,153,104,12
2012-08-10,285,147,10
2012-08-13,86,31,8
2012-08-20,2878,1031,46
2012-08-24,327,290,51
2012-08-30,126,76,25
2012-08-31,40,33,9
2012-09-09,1027,1164,101
2012-09-10,1567,679,57
2012-09-11,93,45,4
2012-09-17,791,374,27
2012-09-18,249,42,4
2012-09-19,2114,1249,79
2012-09-22,151,91,18
2012-10-03,679,365,24
2012-10-04,2,4,1
2012-10-09,406,98,23
2012-10-11,191,169,14
2012-10-12,284,88,18
2012-10-13,549,330,14
2012-10-16,674,206,22
2012-10-17,338,3,4
2012-10-18,256,63,5
2012-10-26,3489,7301,210
2012-10-31,875,486,26
2012-11-08,1243,756,48
2012-11-09,313,83,15
2012-11-14,37,1,3
2012-11-26,1431,705,22
2012-11-28,23,16,4
2012-12-07,9906,192,57
2012-12-11,0,11,1
2012-12-20,355,84,29
2013-01-14,1318,589,21
2013-01-15,25,1,1
2013-01-17,63,25,2
2013-01-18,198,0,3
2013-01-19,59,0,1
2013-01-28,941,1770,18
2013-01-31,555,548,27
2013-02-06,96,1,4
2013-02-08,74,43,5
2013-02-09,30,40,2
2013-02-13,132,20,2
2013-02-20,816,628,69
2013-02-24,230,214,11
2013-02-25,3175,420,103
2013-02-27,603,246,38
2013-02-28,1507,316,68
2013-03-03,1954,61,51
2013-03-04,428,122,19
2013-03-05,12,2,2
2013-03-06,880,352,33
2013-03-07,2,2,1
2013-03-08,313,248,10
2013-03-09,9,7,2
2013-03-12,9,11,2
2013-03-13,5574,1556,118
2013-03-14,270,190,16
2013-03-15,765,1945,67
2013-03-16,269,198,15
2013-03-20,387,51,14
2013-03-21,1450,1124,38
2013-03-22,161,84,12
2013-03-28,170,79,10
2013-03-29,439,469,29
2013-03-30,303,219,2
2013-04-03,85,9,6
2013-04-04,1466,1570,26
2013-04-08,104,10,4
2013-04-09,1340,1048,23
2013-04-12,1992,1696,26
2013-04-15,151,84,19
2013-04-16,345,183,24
2013-04-17,3418,2020,52
2013-04-18,506,406,9
2013-04-19,350,196,16
2013-04-20,9,12,2
2013-04-22,2,0,1
2013-04-23,11,8,3
2013-04-24,1791,2513,78
2013-04-25,844,895,16
2013-04-26,334,127,28
2013-04-28,92,40,6
2013-04-29,2,0,1
2013-04-30,1522,2221,45
2013-05-01,7,7,1
2013-05-02,1235,811,13
2013-05-03,48,7,7
2013-05-04,9,8,1
2013-05-05,10,29,9
2013-05-06,14,14,3
2013-05-07,212,7,8
2013-05-09,12,14,2
2013-05-10,102,36,7
2013-05-11,385,396,4
2013-05-12,137,106,5
2013-05-13,1266,535,27
2013-05-14,36,8,1
2013-05-15,32,21,7
2013-05-17,181,74,6
2013-05-19,11,12,1
2013-05-20,20,34,8
2013-05-21,1362,221,19
2013-05-23,58,43,5
2013-05-24,689,342,47
2013-05-26,338,2697,267
2013-05-27,204,201,40
2013-05-28,375,366,5
2013-05-29,84,0,2
2013-05-30,291,200,22
2013-06-04,14,6,2
2013-06-05,76,56,2
2013-06-06,472,48,10
2013-06-07,406,321,30
2013-06-10,347,9,9
2013-06-11,26,6,4
2013-06-12,100,407,19
2013-06-14,1232,30,25
2013-06-15,285,0,3
2013-06-17,27,2,2
2013-06-19,16,6,1
2013-06-20,36,52,3
2013-06-21,566,290,31
2013-06-23,28,6,1
2013-06-24,5,3,2
2013-06-25,1095,394,23
2013-06-26,413,132,21
2013-06-27,97,30,4
2013-06-28,122,93,6
2013-07-01,735,227,30
2013-07-02,122,39,8
2013-07-03,67,0,4
2013-07-08,2772,7481,32
2013-07-09,85,1196,9
2013-07-10,86,6,4
2013-07-11,3382,12,12
2013-07-12,3655,3899,45
2013-07-13,41,9,3
2013-07-15,53,6,5
2013-07-16,46,58,3
2013-07-17,76,1,4
2013-07-18,2167,12191,108
2013-07-19,248,198,17
2013-07-20,77,61,9
2013-07-21,1417,657,54
2013-07-22,25,26,5
2013-07-23,883,784,30
2013-07-24,72,42,8
2013-07-25,833,275,15
2013-07-26,1,1,1
2013-07-27,117,19,7
2013-07-29,78,61,13
2013-07-30,67,31,8
2013-07-31,513,165,34
2013-08-01,539,1384,41
2013-08-02,130,1300,15
2013-08-03,269,58,8
2013-08-05,16,6,1
2013-08-06,170,21,7
2013-08-07,102,52,15
2013-08-08,73,4,3
2013-08-09,398,312,25
2013-08-10,190,0,5
2013-08-11,79,46,6
2013-08-12,280,25,12
2013-08-13,73,48,8
2013-08-15,65,54,4
2013-08-16,126,12,3
2013-08-19,7,5,3
2013-08-20,22,11,4
2013-08-21,308,9,5
2013-08-22,146,8,8
2013-08-23,302,60,18
2013-08-25,3,6,1
2013-08-26,499,32,10
2013-08-27,94,41,1
2013-08-28,156,119,8
2013-08-29,336,133,14
2013-08-30,62,21,2
2013-09-03,134,24,10
2013-09-05,6,11,1
2013-09-06,71,33,2
2013-09-09,60,13,1
2013-09-10,74,7,3
2013-09-11,184,122,9
2013-09-13,128,67,5
2013-09-16,34,179,5
2013-09-17,26,270,4
2013-09-19,1335,83,14
2013-09-20,2,1269,17
2013-09-23,4,8,3
2013-09-25,5,1,1
2013-09-26,26,1,3
2013-09-27,1,1,1
2013-10-01,486,112,22
2013-10-02,209,106,10
2013-10-04,1799,264,40
2013-10-07,67,0,1
2013-10-08,197,45,9
2013-10-09,48,6,4
2013-10-11,47,11,2
2013-10-12,1353,30,28
2013-10-13,2,1,1
2013-10-14,4218,10530,23
2013-10-15,40,141,2
2013-10-16,2,2,1
2013-10-17,425,221,12
2013-10-18,6,3,4
2013-10-21,9,0,1
2013-10-22,140,269,15
2013-10-23,786,512,31
2013-10-24,66,50,5
2013-10-25,78,33,7
2013-10-27,414,1160,31
2013-10-28,134,65,26
2013-10-29,1014,280,31
2013-10-30,700,371,9
2013-10-31,274,13,4
2013-11-01,60,52,6
2013-11-02,132,11,6
2013-11-04,157,217,5
2013-11-05,509,226,14
2013-11-06,679,247,17
2013-11-11,148,172,2
2013-11-12,199,20,13
2013-11-13,65,44,5
2013-11-14,187,187,8
2013-11-15,23,19,4
2013-11-16,9,3,1
2013-11-17,8,4,1
2013-11-18,14,8,2
2013-11-19,3284,2088,55
2013-11-20,47,6,11
2013-11-21,387,199,11
2013-11-22,187,17,6
2013-11-24,31,6,2
2013-11-25,111,29,9
2013-11-26,354,66,28
2013-11-27,106,108,14
2013-12-01,375,106,32
2013-12-02,101,45,10
2013-12-03,286,159,7
2013-12-04,471,103,21
2013-12-05,105,19,13
2013-12-06,12206,5335,23
2013-12-09,85,6,6
2013-12-10,141,25,30
2013-12-11,5,5,3
2013-12-12,424,60,18
2013-12-17,235,124,8
2013-12-18,59,32,3
2013-12-19,464,380,26
2013-12-22,2,1,1
2013-12-26,158,0,1
2013-12-27,200,54,2
2013-12-29,2334,839,72
2013-12-30,489,269,26
2014-01-02,6,3,1
2014-01-04,37,0,1
2014-01-06,2,0,1
2014-01-09,4,0,1
2014-01-10,182,192,14
2014-01-13,1188,1143,42
2014-01-14,2,43,2
2014-01-15,357,119,38
2014-01-16,5683,2642,47
2014-01-17,1021,225,72
2014-01-18,179,213,13
2014-01-20,145,110,10
2014-01-21,313,124,24
2014-01-22,416,204,19
2014-01-23,911,554,29
2014-01-24,1173,429,22
2014-01-25,759,1,5
2014-01-27,483,10,6
2014-01-28,264,13,11
2014-01-29,7,3,1
2014-01-30,374,220,20
2014-01-31,588,96,14
2014-02-01,791,240,23
2014-02-02,336,11,9
2014-02-03,115,5,9
2014-02-06,125,29,14
2014-02-07,3,2,2
2014-02-10,14,3,2
2014-02-11,6279,5030,89
2014-02-13,381,265,35
2014-02-14,1168,102,22
2014-02-16,98,82,15
2014-02-17,113,124,2
2014-02-18,257,34,6
2014-02-19,234,208,9
2014-02-20,926,94,16
2014-02-21,298,510,21
2014-02-24,194,84,53
2014-02-25,55,1,2
2014-02-26,150,158,16
2014-02-27,390,252,13
2014-02-28,938,52,19
2014-03-01,2,2,1
2014-03-02,145,28,3
2014-03-03,1278,93,14
2014-03-04,541,332,11
2014-03-05,302,59,17
2014-03-06,218,213,27
2014-03-09,320,77,15
2014-03-10,618,258,16
2014-03-11,432,133,15
2014-03-12,472,169,29
2014-03-13,33,30,11
2014-03-14,102,13,9
2014-03-16,2,2,1
2014-03-17,1380,39,14
2014-03-18,33,32,3
2014-03-19,11,10,2
2014-03-20,449,52,7
2014-03-21,475,298,16
2014-03-24,273,5,8
2014-03-25,561,247,54
