author,added,deleted,commits
ASHUTOSH JAIN,10,13,2
Aaron Bell,20,15,3
Abhishek Dasgupta,478,57,128
Adam B,3826,1312,177
Aditi Dixit,550,45,32
Akanksha Agrawal,44,36,3
Alex Clemmer,7813,3069,354
Alex Naparu,693,457,27
Alexander Rojas,7598,2698,245
Alexander Rukletsov,8622,4128,424
Alexandra Sava,516,265,41
Anand Mazumdar,9607,2361,194
Andrey Dyatlov,7,0,1
Andy Konwinski,487,157,33
Andy Pang,1,0,1
Anindya Sinha,116,23,7
Ankur Chauhan,251,84,4
Anton Lindström,210,38,7
Archana kumari,10,12,4
Artem Harutyunyan,3319,1901,165
Avinash sridharan,2253,220,80
Bartek Plotka,1179,116,37
Ben Mahler,355,168,21
Benjamin Bannier,12377,13652,922
Benjamin Hindman,4020863,3981952,38660
Benjamin Mahler,51566,37780,1825
Bernardo Gomez Palacio,458,162,14
Bernd Mathiske,7154,2476,188
Bhuvan Arumugam,168,7,3
Bill Farner,25,14,4
Brendan Chang,74,3,3
Brenden Matthews,675,286,46
Brian Wickman,114,1,2
BrickXu,1,0,1
Charles Reiss,34,19,5
Charlie Carson,842,296,24
Chengwei Yang,60,37,18
Chi Zhang,7519,2431,109
Chris Heller,46,1,2
Chris Mattmann,14,1,2
Christos Kozyrakis,373,53,11
Cody Maloney,1825,1994,117
Cong Wang,2662,1051,76
Connor Doyle,505,64,25
Craig Hansen-Sturm,67,28,1
Daniel Pravat,501,231,20
Dario Bazan,175,205,11
Dario Rexin,11,4,3
Dave Lester,819,1926,142
David Forsythe,486,198,40
David Robinson,73,38,7
Diana Arroyo,317,9,17
Diogo Gomes,2,2,1
Disha  Singh,8,2,3
Dominic Hamon,7679,4576,350
Eijsermans,1,0,1
Elsmore,28,24,20
Eren Güven,1,0,1
Evelina Dumitrescu,2127,1870,144
Felix Abecassis,204,31,24
Gabriel Monroy,41,0,1
Gajewski,1,0,1
Gastón Kleiman,12,12,6
Gaudio,1,0,1
Gilbert Song,4679,2087,368
Greg Mann,8658,3048,180
Guangya Liu,1453,437,142
Ian Babrou,1,1,1
Ian Downes,17054,7345,442
Isabel Jimenez,5682,1181,317
Itamar Ostricher,4,2,1
Jake Farrell,76,15,2
Jameel Al-Aziz,5,1,2
James DeFelice,107,18,5
James Peach,2969,1860,70
Jan Schlicht,1681,488,71
Jay Buffington,363,51,10
Jian Qiu,10,31,4
Jiang Yan Xu,7481,10107,410
Jie Yu,43035,21976,1424
Jihun Kang,1,1,1
Jiri Simsa,1,0,1
Jocelyn De La Rosa,2,2,1
Joe Gordon,10,10,6
Joerg Schad,5178,1898,266
Jojy Varghese,8186,1964,184
Jonathon Rossi,27,31,7
Joris Van Remoortere,15833,9438,606
Joseph Wu,15328,9872,391
Kakadia,4,1,1
Kamil Doma?ski,3,3,1
Kamil Domanski,2,1,2
Kapil Arya,10940,4069,1205
Ken Sipe,32,15,8
Kevin Devroede,3,3,2
Kevin Klues,2476,361,138
Kiyonari Harigae,1,1,1
Klaus Ma,813,323,61
Lily Chen,2552,511,39
M Bauer,1,0,1
M Lawindi,228,5,6
Mandeep Chadha,73,20,3
Marco Massenzio,1191,769,73
Mark Wang,40,19,11
Martin Weindel,227,22,6
Matei Alexandru Zaharia,296690,294716,1290
Michael Browning,201,22,14
Michael Lunøe,16,17,9
Michael Park,10696,5771,497
Michael Schenck,7,1,1
Nancy  Ko,6,1,1
Neil Conway,9358,4216,529
Nikita Vetoshkin,85,18,10
Niklas Nielsen,2996,1102,141
Niklas Q. Nielsen,2534,580,99
Oliver Nicholas,7,7,2
Olivier Sallou,2,0,2
Palak Choudhary,1,1,1
Paul Brett,2535,1447,156
Qian Zhang,49,3,8
R.B. Boyer,148,7,3
Ricardo Cervera-Navarro,1058,0,2
Ritwik Yadav,42,19,4
Ross Allen,14528,17901,155
Rossi,12173,1,98
Ryan Thomas,61,34,6
Ryuichi Okumura,8,8,7
Samuel,2,2,1
Shuai Lin,570,37,22
Sipe,0,25,1
Spike Curtis,139,2,2
Stan Teresen,157,5,5
Stephan Erb,1,0,1
Steve Hoffman,1,0,1
Steve Niemitz,302,241,26
Steven Phung,190,163,5
TILL TOENSHOFF,224,4,6
Thomas Marshall,2038,756,74
Thomas Rampelberg,769,404,49
Till Toenshoff,5166,2999,264
Tim Anderegg,56,0,1
Timothy Chen,16514,8163,581
Timothy St. Clair,1141,278,84
Tobi Knaup,434,140,33
Tobias Weingartner,73,0,1
Tom Arnfeld,85,17,9
Tom Galloway,42,25,1
Tomasz Janiszewski,177,13,3
Vaibhav Khanduja,159,103,17
Vinod Kone,52152,21386,1921
Vinson Lee,18,8,3
Vivek Juneja,1,0,1
Weitao,1,0,1
Wojciech Sielski,2,0,1
Yifan Gu,927,144,46
Yong Qiao Wang,278,101,12
Yong Tang,54,157,13
Yongqiao Wang,1958,294,45
Zhitao Li,109,16,13
Zhiwei Chen,3,2,2
Zuyu Zhang,741,126,20
adam-mesos,68,22,3
ayouwei,1,0,1
farukd,1,0,1
grandlogic,2,0,1
haosdent huang,3385,1178,203
mlawindi,37,0,2
niklas,145,0,4
usultrared,1,0,1
weitao zhou,17,14,3
