author,peer,shared,average,strength
usultrared,ayouwei,1,1,100
usultrared,Weitao,1,1,100
usultrared,Gajewski,1,1,100
usultrared,BrickXu,1,1,100
usultrared,Gaudio,1,1,100
usultrared,farukd,1,1,100
usultrared,Steve Hoffman,1,1,100
usultrared,Eren Güven,1,1,100
usultrared,M Bauer,1,1,100
usultrared,Stephan Erb,1,1,100
usultrared,Vivek Juneja,1,1,100
usultrared,Eijsermans,1,1,100
farukd,usultrared,1,1,100
farukd,Eren Güven,1,1,100
farukd,Eijsermans,1,1,100
farukd,Weitao,1,1,100
farukd,Gajewski,1,1,100
farukd,Stephan Erb,1,1,100
farukd,M Bauer,1,1,100
farukd,BrickXu,1,1,100
farukd,Steve Hoffman,1,1,100
farukd,ayouwei,1,1,100
farukd,Gaudio,1,1,100
farukd,Vivek Juneja,1,1,100
ayouwei,Eren Güven,1,1,100
ayouwei,farukd,1,1,100
ayouwei,Vivek Juneja,1,1,100
ayouwei,Gajewski,1,1,100
ayouwei,Eijsermans,1,1,100
ayouwei,M Bauer,1,1,100
ayouwei,Stephan Erb,1,1,100
ayouwei,Weitao,1,1,100
ayouwei,BrickXu,1,1,100
ayouwei,Steve Hoffman,1,1,100
ayouwei,Gaudio,1,1,100
ayouwei,usultrared,1,1,100
Weitao,Eren Güven,1,1,100
Weitao,BrickXu,1,1,100
Weitao,M Bauer,1,1,100
Weitao,Gajewski,1,1,100
Weitao,Gaudio,1,1,100
Weitao,Stephan Erb,1,1,100
Weitao,ayouwei,1,1,100
Weitao,usultrared,1,1,100
Weitao,Steve Hoffman,1,1,100
Weitao,farukd,1,1,100
Weitao,Eijsermans,1,1,100
Weitao,Vivek Juneja,1,1,100
Vivek Juneja,ayouwei,1,1,100
Vivek Juneja,Gajewski,1,1,100
Vivek Juneja,Steve Hoffman,1,1,100
Vivek Juneja,usultrared,1,1,100
Vivek Juneja,M Bauer,1,1,100
Vivek Juneja,Stephan Erb,1,1,100
Vivek Juneja,Eren Güven,1,1,100
Vivek Juneja,BrickXu,1,1,100
Vivek Juneja,farukd,1,1,100
Vivek Juneja,Weitao,1,1,100
Vivek Juneja,Eijsermans,1,1,100
Vivek Juneja,Gaudio,1,1,100
Steve Hoffman,Stephan Erb,1,1,100
Steve Hoffman,ayouwei,1,1,100
Steve Hoffman,M Bauer,1,1,100
Steve Hoffman,usultrared,1,1,100
Steve Hoffman,Eijsermans,1,1,100
Steve Hoffman,farukd,1,1,100
Steve Hoffman,Weitao,1,1,100
Steve Hoffman,Eren Güven,1,1,100
Steve Hoffman,Gaudio,1,1,100
Steve Hoffman,Vivek Juneja,1,1,100
Steve Hoffman,BrickXu,1,1,100
Steve Hoffman,Gajewski,1,1,100
Stephan Erb,Eren Güven,1,1,100
Stephan Erb,farukd,1,1,100
Stephan Erb,Eijsermans,1,1,100
Stephan Erb,usultrared,1,1,100
Stephan Erb,M Bauer,1,1,100
Stephan Erb,BrickXu,1,1,100
Stephan Erb,Weitao,1,1,100
Stephan Erb,Gaudio,1,1,100
Stephan Erb,Steve Hoffman,1,1,100
Stephan Erb,ayouwei,1,1,100
Stephan Erb,Gajewski,1,1,100
Stephan Erb,Vivek Juneja,1,1,100
Samuel,Palak Choudhary,1,1,100
Palak Choudhary,Samuel,1,1,100
Nancy  Ko,Kakadia,1,1,100
M Bauer,BrickXu,1,1,100
M Bauer,Stephan Erb,1,1,100
M Bauer,Vivek Juneja,1,1,100
M Bauer,Gajewski,1,1,100
M Bauer,Gaudio,1,1,100
M Bauer,Eijsermans,1,1,100
M Bauer,Steve Hoffman,1,1,100
M Bauer,Weitao,1,1,100
M Bauer,usultrared,1,1,100
M Bauer,farukd,1,1,100
M Bauer,Eren Güven,1,1,100
M Bauer,ayouwei,1,1,100
Kakadia,Nancy  Ko,1,1,100
Gaudio,BrickXu,1,1,100
Gaudio,Eijsermans,1,1,100
Gaudio,Steve Hoffman,1,1,100
Gaudio,ayouwei,1,1,100
Gaudio,Stephan Erb,1,1,100
Gaudio,Gajewski,1,1,100
Gaudio,usultrared,1,1,100
Gaudio,M Bauer,1,1,100
Gaudio,Weitao,1,1,100
Gaudio,farukd,1,1,100
Gaudio,Vivek Juneja,1,1,100
Gaudio,Eren Güven,1,1,100
Gajewski,Eijsermans,1,1,100
Gajewski,Vivek Juneja,1,1,100
Gajewski,M Bauer,1,1,100
Gajewski,ayouwei,1,1,100
Gajewski,Eren Güven,1,1,100
Gajewski,usultrared,1,1,100
Gajewski,Steve Hoffman,1,1,100
Gajewski,BrickXu,1,1,100
Gajewski,Stephan Erb,1,1,100
Gajewski,Weitao,1,1,100
Gajewski,Gaudio,1,1,100
Gajewski,farukd,1,1,100
Eren Güven,usultrared,1,1,100
Eren Güven,Stephan Erb,1,1,100
Eren Güven,Steve Hoffman,1,1,100
Eren Güven,Weitao,1,1,100
Eren Güven,farukd,1,1,100
Eren Güven,Gaudio,1,1,100
Eren Güven,M Bauer,1,1,100
Eren Güven,Eijsermans,1,1,100
Eren Güven,ayouwei,1,1,100
Eren Güven,Gajewski,1,1,100
Eren Güven,BrickXu,1,1,100
Eren Güven,Vivek Juneja,1,1,100
Eijsermans,Weitao,1,1,100
Eijsermans,Steve Hoffman,1,1,100
Eijsermans,Eren Güven,1,1,100
Eijsermans,usultrared,1,1,100
Eijsermans,farukd,1,1,100
Eijsermans,Gaudio,1,1,100
Eijsermans,ayouwei,1,1,100
Eijsermans,Stephan Erb,1,1,100
Eijsermans,Gajewski,1,1,100
Eijsermans,M Bauer,1,1,100
Eijsermans,BrickXu,1,1,100
Eijsermans,Vivek Juneja,1,1,100
BrickXu,Gaudio,1,1,100
BrickXu,Eren Güven,1,1,100
BrickXu,ayouwei,1,1,100
BrickXu,M Bauer,1,1,100
BrickXu,Stephan Erb,1,1,100
BrickXu,Gajewski,1,1,100
BrickXu,Eijsermans,1,1,100
BrickXu,usultrared,1,1,100
BrickXu,Weitao,1,1,100
BrickXu,Vivek Juneja,1,1,100
BrickXu,Steve Hoffman,1,1,100
BrickXu,farukd,1,1,100
Tomasz Janiszewski,Ankur Chauhan,2,3,66
Tomasz Janiszewski,Bhuvan Arumugam,2,3,66
Spike Curtis,R.B. Boyer,2,3,66
R.B. Boyer,Spike Curtis,2,3,66
Bhuvan Arumugam,Tomasz Janiszewski,2,3,66
Bhuvan Arumugam,Ankur Chauhan,2,3,66
Ankur Chauhan,Bhuvan Arumugam,2,3,66
Ankur Chauhan,Tomasz Janiszewski,2,3,66
Kevin Klues,Abhishek Dasgupta,55,102,53
Abhishek Dasgupta,Kevin Klues,55,102,53
usultrared,Olivier Sallou,1,2,50
farukd,Olivier Sallou,1,2,50
ayouwei,Olivier Sallou,1,2,50
Weitao,Olivier Sallou,1,2,50
Vivek Juneja,Olivier Sallou,1,2,50
Vinson Lee,Chris Heller,1,2,50
Steve Hoffman,Olivier Sallou,1,2,50
Stephan Erb,Olivier Sallou,1,2,50
Olivier Sallou,usultrared,1,2,50
Olivier Sallou,farukd,1,2,50
Olivier Sallou,Vivek Juneja,1,2,50
Olivier Sallou,Gajewski,1,2,50
Olivier Sallou,M Bauer,1,2,50
Olivier Sallou,Steve Hoffman,1,2,50
Olivier Sallou,Jiri Simsa,1,2,50
Olivier Sallou,ayouwei,1,2,50
Olivier Sallou,Eijsermans,1,2,50
Olivier Sallou,Gaudio,1,2,50
Olivier Sallou,Stephan Erb,1,2,50
Olivier Sallou,BrickXu,1,2,50
Olivier Sallou,Eren Güven,1,2,50
Olivier Sallou,Weitao,1,2,50
Nikita Vetoshkin,Ken Sipe,4,8,50
M Bauer,Olivier Sallou,1,2,50
Ken Sipe,Nikita Vetoshkin,4,8,50
