entity,coupled,degree,average-revs
src/examples/python/test-executor.in,src/examples/python/test-framework.in,100,10
src/slave/lxc_isolation_module.hpp,src/slave/process_based_isolation_module.hpp,100,8
3rdparty/libprocess/3rdparty/stout/tests/protobuf_tests.pb.cc,3rdparty/libprocess/3rdparty/stout/tests/protobuf_tests.pb.h,100,7
src/examples/java/test-executor.in,src/examples/java/test-multiple-executors-framework.in,100,7
src/examples/java/test-exception-framework.in,src/examples/java/test-framework.in,100,7
src/examples/java/test-framework.in,src/examples/java/test-multiple-executors-framework.in,100,7
src/examples/java/test-exception-framework.in,src/examples/java/test-executor.in,100,7
src/examples/java/test-exception-framework.in,src/examples/java/test-multiple-executors-framework.in,100,7
src/examples/java/test-executor.in,src/examples/java/test-framework.in,100,7
src/examples/python/test_executor,src/examples/python/test_framework,100,5
src/tests/java_framework_test.sh,src/tests/python_framework_test.sh,100,5
src/slave/containerizer/mesos/provisioner/provisioner.cpp,src/slave/containerizer/mesos/provisioner/provisioner.hpp,100,5
src/slave/containerizer/isolators/filesystem/shared.hpp,src/slave/containerizer/isolators/namespaces/pid.hpp,92,14
src/linux/routing/queueing/fq_codel.cpp,src/linux/routing/queueing/fq_codel.hpp,92,7
src/linux/routing/queueing/ingress.cpp,src/linux/routing/queueing/ingress.hpp,92,7
src/examples/low_level_scheduler_libprocess.cpp,src/examples/low_level_scheduler_pthread.cpp,91,19
src/webui/master/static/slave_executor.html,src/webui/master/static/slave_framework.html,90,21
src/launcher/launcher.hpp,src/launcher/main.cpp,90,17
hadoop/hadoop-0.20.2-cdh3u3_hadoop-env.sh.patch,hadoop/hadoop-0.20.205.0_hadoop-env.sh.patch,90,6
src/slave/containerizer/provisioners/appc/paths.cpp,src/slave/containerizer/provisioners/appc/paths.hpp,90,6
src/python/native/module.cpp,src/python/native/module.hpp,90,6
src/python/native/src/mesos/native/mesos_scheduler_driver_impl.cpp,src/python/native/src/mesos/native/mesos_scheduler_driver_impl.hpp,90,6
src/common/build.cpp,src/common/build.hpp,90,6
