entity,added,deleted,commits
third_party/sqlite-3.6.23.1/sqlite3.c,112444,112444,2
third_party/libprocess/third_party/glog-0.3.1/configure,53130,53130,4
frameworks/hadoop-0.20.0/lib/jdiff/hadoop_0.20.0.xml,52140,0,1
frameworks/hadoop-0.20.0/lib/jdiff/hadoop_0.18.1.xml,44778,0,1
frameworks/hadoop-0.20.0/lib/jdiff/hadoop_0.19.1.xml,44195,0,1
frameworks/hadoop-0.20.0/lib/jdiff/hadoop_0.19.0.xml,43972,0,1
frameworks/hadoop-0.20.0/lib/jdiff/hadoop_0.17.0.xml,43272,0,1
frameworks/hadoop-0.20.0/lib/jdiff/hadoop_0.18.3.xml,38826,0,1
frameworks/hadoop-0.20.0/lib/jdiff/hadoop_0.18.2.xml,38788,0,1
configure,34142,34142,43
src/third_party/glog-0.3.0/configure,26205,0,1
frameworks/hadoop-0.20.0/src/examples/pipes/configure,22856,0,1
frameworks/hadoop-0.20.0/src/c++/pipes/configure,22621,0,1
third_party/sqlite-3.6.23.1/configure,22530,22530,2
third_party/libprocess/third_party/gmock-1.5.0/configure,22405,22405,2
frameworks/hadoop-0.20.0/src/c++/utils/configure,22372,0,1
src/third_party/libprocess/third_party/libev-3.8/configure,22156,0,1
src/master/master.cpp,22081,16020,585
third_party/libprocess/third_party/gmock-1.5.0/gtest/configure,22034,22034,2
src/third_party/gtest-1.4.0-patched/configure,21991,0,1
frameworks/hadoop-0.20.0/src/native/configure,21614,0,1
src/third_party/zookeeper-3.2.2/src/c/configure,21391,0,1
third_party/protobuf-2.3.0/configure,20086,20086,2
third_party/libprocess/third_party/gmock-1.6.0/fused-src/gtest/gtest.h,19537,19537,2
third_party/gmock-1.6.0/gtest/fused-src/gtest/gtest.h,19537,19537,2
third_party/libprocess/third_party/gmock-1.6.0/gtest/fused-src/gtest/gtest.h,19537,19537,2
third_party/gmock-1.6.0/fused-src/gtest/gtest.h,19537,19537,2
third_party/protobuf-2.4.1/configure,18713,18713,2
third_party/protobuf-2.3.0/gtest/configure,18268,18268,2
third_party/libprocess/third_party/gmock-1.5.0/fused-src/gtest/gtest.h,18007,18007,2
third_party/libprocess/third_party/gmock-1.5.0/gtest/fused-src/gtest/gtest.h,18007,18007,2
src/third_party/gtest-1.5.0/fused-src/gtest/gtest.h,18007,0,1
third_party/gmock-1.6.0/configure,17795,17795,2
third_party/libprocess/third_party/gmock-1.6.0/configure,17795,17795,2
third_party/gtest-1.5.0/configure,17658,17658,2
third_party/libprocess/third_party/gmock-1.6.0/gtest/configure,17482,17482,2
third_party/gmock-1.6.0/gtest/configure,17482,17482,2
third_party/protobuf-2.4.1/gtest/configure,17441,17441,2
frameworks/hadoop-0.20.0/src/c++/libhdfs/configure,16051,0,1
src/slave/slave.cpp,15791,10450,450
third_party/libprocess/third_party/glog-0.3.1/aclocal.m4,15084,15084,4
third_party/libprocess/third_party/glog-0.3.1/ltmain.sh,13928,13928,4
src/webui/master/static/angular-1.0.0rc8.js,13823,0,1
third_party/gmock-1.5.0/fused-src/gmock/gmock.h,13664,13664,2
third_party/libprocess/third_party/gmock-1.5.0/fused-src/gmock/gmock.h,13664,13664,2
third_party/libprocess/third_party/gmock-1.6.0/fused-src/gmock/gmock.h,12822,12822,2
third_party/gmock-1.6.0/fused-src/gmock/gmock.h,12822,12822,2
third_party/gmock-1.6.0/fused-src/gmock-gtest-all.cc,10554,10554,2
third_party/libprocess/third_party/gmock-1.6.0/fused-src/gmock-gtest-all.cc,10554,10554,2
