entity,author,author-revs,total-revs
.clang-format,Michael Park,2,2
.gitignore,Benjamin Hindman,23,23
.gitignore-template,James Peach,1,5
.gitignore-template,Michael Park,1,5
.gitignore-template,Cody Maloney,1,5
.gitignore-template,Isabel Jimenez,1,5
.gitignore-template,Benjamin Hindman,1,5
.gitignore-template => support/gitignore,Michael Park,1,1
.travis.yml,Vinod Kone,1,5
.travis.yml,Dominic Hamon,4,5
3rdparty/CMakeLists.txt,Diana Arroyo,1,5
3rdparty/CMakeLists.txt,Alex Clemmer,3,5
3rdparty/CMakeLists.txt,M Lawindi,1,5
3rdparty/Makefile.am,Diana Arroyo,1,9
3rdparty/Makefile.am,Kapil Arya,1,9
3rdparty/Makefile.am,Benjamin Mahler,1,9
3rdparty/Makefile.am,Thomas Rampelberg,1,9
3rdparty/Makefile.am,Timothy St. Clair,3,9
3rdparty/Makefile.am,Jiang Yan Xu,1,9
3rdparty/Makefile.am,Benjamin Hindman,1,9
3rdparty/boto-2.0b2.zip,Timothy St. Clair,1,1
3rdparty/cmake/Mesos3rdpartyConfigure.cmake,Diana Arroyo,1,4
3rdparty/cmake/Mesos3rdpartyConfigure.cmake,Alex Clemmer,2,4
3rdparty/cmake/Mesos3rdpartyConfigure.cmake,M Lawindi,1,4
3rdparty/cmake/Versions.cmake,Dario Bazan,1,6
3rdparty/cmake/Versions.cmake,Diana Arroyo,1,6
3rdparty/cmake/Versions.cmake,Alex Clemmer,4,6
3rdparty/leveldb-1.4.tar.gz,Diana Arroyo,1,1
3rdparty/leveldb.patch,Till Toenshoff,1,1
3rdparty/leveldb.tar.gz,Diana Arroyo,1,2
3rdparty/leveldb.tar.gz,Timothy St. Clair,1,2
3rdparty/libprocess/3rdparty/CMakeLists.txt,Dario Bazan,1,28
3rdparty/libprocess/3rdparty/CMakeLists.txt,Alex Clemmer,21,28
3rdparty/libprocess/3rdparty/CMakeLists.txt,mlawindi,1,28
3rdparty/libprocess/3rdparty/CMakeLists.txt,haosdent huang,2,28
3rdparty/libprocess/3rdparty/CMakeLists.txt,Joseph Wu,2,28
3rdparty/libprocess/3rdparty/CMakeLists.txt,Joris Van Remoortere,1,28
3rdparty/libprocess/3rdparty/Makefile.am,James Peach,1,58
3rdparty/libprocess/3rdparty/Makefile.am,Ian Downes,1,58
3rdparty/libprocess/3rdparty/Makefile.am,David Forsythe,1,58
3rdparty/libprocess/3rdparty/Makefile.am,Cong Wang,1,58
3rdparty/libprocess/3rdparty/Makefile.am,Joseph Wu,2,58
3rdparty/libprocess/3rdparty/Makefile.am,adam-mesos,1,58
3rdparty/libprocess/3rdparty/Makefile.am,Alexander Rukletsov,1,58
3rdparty/libprocess/3rdparty/Makefile.am,Chengwei Yang,1,58
3rdparty/libprocess/3rdparty/Makefile.am,Benjamin Hindman,10,58
