entity,author,added,deleted
.clang-format,Michael Park,1,1
.gitignore,Benjamin Hindman,397,397
.gitignore-template,James Peach,8,0
.gitignore-template,Michael Park,1,0
.gitignore-template,Cody Maloney,1,0
.gitignore-template,Isabel Jimenez,2,0
.gitignore-template,Benjamin Hindman,23,0
.gitignore-template => support/gitignore,Michael Park,0,0
.travis.yml,Vinod Kone,0,38
.travis.yml,Dominic Hamon,47,9
3rdparty/CMakeLists.txt,Diana Arroyo,21,0
3rdparty/CMakeLists.txt,Alex Clemmer,76,3
3rdparty/CMakeLists.txt,M Lawindi,12,3
3rdparty/Makefile.am,Diana Arroyo,1,1
3rdparty/Makefile.am,Kapil Arya,3,0
3rdparty/Makefile.am,Benjamin Mahler,5,0
3rdparty/Makefile.am,Thomas Rampelberg,13,6
3rdparty/Makefile.am,Timothy St. Clair,21,20
3rdparty/Makefile.am,Jiang Yan Xu,5,0
3rdparty/Makefile.am,Benjamin Hindman,1,1
3rdparty/boto-2.0b2.zip,Timothy St. Clair,0,0
3rdparty/cmake/Mesos3rdpartyConfigure.cmake,Diana Arroyo,3,0
3rdparty/cmake/Mesos3rdpartyConfigure.cmake,Alex Clemmer,47,3
3rdparty/cmake/Mesos3rdpartyConfigure.cmake,M Lawindi,82,2
3rdparty/cmake/Versions.cmake,Dario Bazan,1,0
3rdparty/cmake/Versions.cmake,Diana Arroyo,1,0
3rdparty/cmake/Versions.cmake,Alex Clemmer,12,0
3rdparty/leveldb-1.4.tar.gz,Diana Arroyo,0,0
3rdparty/leveldb.patch,Till Toenshoff,30,0
3rdparty/leveldb.tar.gz,Diana Arroyo,0,0
3rdparty/leveldb.tar.gz,Timothy St. Clair,0,0
3rdparty/libprocess/3rdparty/CMakeLists.txt,Dario Bazan,10,0
3rdparty/libprocess/3rdparty/CMakeLists.txt,Alex Clemmer,473,190
3rdparty/libprocess/3rdparty/CMakeLists.txt,mlawindi,9,0
3rdparty/libprocess/3rdparty/CMakeLists.txt,haosdent huang,72,66
3rdparty/libprocess/3rdparty/CMakeLists.txt,Joseph Wu,2,4
3rdparty/libprocess/3rdparty/CMakeLists.txt,Joris Van Remoortere,2,1
3rdparty/libprocess/3rdparty/Makefile.am,James Peach,5,1
3rdparty/libprocess/3rdparty/Makefile.am,Ian Downes,0,1
3rdparty/libprocess/3rdparty/Makefile.am,David Forsythe,10,2
3rdparty/libprocess/3rdparty/Makefile.am,Cong Wang,1,0
3rdparty/libprocess/3rdparty/Makefile.am,Joseph Wu,7,0
3rdparty/libprocess/3rdparty/Makefile.am,adam-mesos,6,1
3rdparty/libprocess/3rdparty/Makefile.am,Alexander Rukletsov,1,1
3rdparty/libprocess/3rdparty/Makefile.am,Chengwei Yang,1,1
3rdparty/libprocess/3rdparty/Makefile.am,Benjamin Hindman,36,10
3rdparty/libprocess/3rdparty/Makefile.am,Michael Park,1,0
3rdparty/libprocess/3rdparty/Makefile.am,Timothy St. Clair,81,42
3rdparty/libprocess/3rdparty/Makefile.am,Isabel Jimenez,12,0
3rdparty/libprocess/3rdparty/Makefile.am,Ben Mahler,1,0
3rdparty/libprocess/3rdparty/Makefile.am,Jiang Yan Xu,1,0
3rdparty/libprocess/3rdparty/Makefile.am,Jie Yu,5,0
3rdparty/libprocess/3rdparty/Makefile.am,Kapil Arya,6,2
