entity,fractal-value,total-revs
docs/configuration.md,0.96,75
src/tests/mesos.hpp,0.9500000000000001,157
src/slave/flags.cpp,0.9500000000000001,74
include/mesos/mesos.proto,0.9400000000000001,189
src/tests/slave_tests.cpp,0.9400000000000001,134
src/tests/mesos.cpp,0.9400000000000001,103
include/mesos/v1/mesos.proto,0.9400000000000001,49
src/common/http.cpp,0.9400000000000001,43
src/launcher/fetcher.cpp,0.9400000000000001,38
src/master/http.cpp,0.93,204
src/slave/flags.hpp,0.93,131
docs/upgrades.md,0.93,43
src/CMakeLists.txt,0.92,62
3rdparty/libprocess/3rdparty/Makefile.am,0.92,58
docs/mesos-c++-style-guide.md,0.92,34
src/master/flags.cpp,0.92,30
src/tests/common/http_tests.cpp,0.92,21
3rdparty/libprocess/3rdparty/stout/tests/protobuf_tests.cpp,0.92,21
3rdparty/libprocess/3rdparty/stout/include/stout/os.hpp,0.91,84
src/tests/resources_tests.cpp,0.91,73
docs/home.md,0.91,62
src/common/protobuf_utils.cpp,0.91,44
src/slave/containerizer/containerizer.cpp,0.91,41
3rdparty/libprocess/include/process/process.hpp,0.91,32
src/master/constants.cpp,0.91,26
include/mesos/type_utils.hpp,0.91,24
src/common/resources.cpp,0.9,82
3rdparty/libprocess/3rdparty/stout/tests/os_tests.cpp,0.9,58
3rdparty/libprocess/configure.ac,0.9,50
src/slave/constants.hpp,0.9,48
src/master/constants.hpp,0.9,40
support/post-reviews.py,0.9,36
src/tests/health_check_tests.cpp,0.9,31
3rdparty/libprocess/src/subprocess.cpp,0.9,29
src/cli/execute.cpp,0.9,22
src/tests/containerizer.cpp,0.9,20
docs/app-framework-development-guide.md,0.9,18
src/slave/containerizer/containerizer.hpp,0.9,18
3rdparty/libprocess/3rdparty/stout/include/stout/format.hpp,0.9,15
3rdparty/libprocess/3rdparty/stout/include/stout/result.hpp,0.9,14
3rdparty/libprocess/include/process/gmock.hpp,0.9,13
3rdparty/libprocess/include/process/pid.hpp,0.9,12
docs/network-monitoring.md,0.9,10
src/Makefile.am,0.89,526
src/master/master.hpp,0.89,329
src/tests/master_tests.cpp,0.89,214
CHANGELOG,0.89,112
src/tests/environment.cpp,0.89,73
3rdparty/libprocess/src/tests/http_tests.cpp,0.89,62
src/tests/cluster.hpp,0.89,60
docs/getting-started.md,0.89,55
src/common/protobuf_utils.hpp,0.89,35
3rdparty/libprocess/3rdparty/stout/include/stout/protobuf.hpp,0.89,35
src/tests/master_contender_detector_tests.cpp,0.89,32
src/tests/fetcher_tests.cpp,0.89,30
src/common/type_utils.cpp,0.89,29
src/master/detector.cpp,0.89,25
src/common/http.hpp,0.89,25
3rdparty/libprocess/src/tests/subprocess_tests.cpp,0.89,24
docs/release-guide.md,0.89,22
docs/authorization.md,0.89,20
3rdparty/libprocess/src/encoder.hpp,0.89,20
src/tests/group_tests.cpp,0.89,20
3rdparty/libprocess/3rdparty/stout/tests/json_tests.cpp,0.89,20
src/master/contender.cpp,0.89,19
src/tests/containerizer.hpp,0.89,15
3rdparty/libprocess/src/pid.cpp,0.89,14
docs/fetcher.md,0.89,12
src/master/allocator/sorter/drf/sorter.hpp,0.89,12
3rdparty/libprocess/include/process/address.hpp,0.89,12
3rdparty/libprocess/3rdparty/stout/tests/hashmap_tests.cpp,0.89,9
src/tests/containerizer/launch_tests.cpp,0.89,9
src/master/master.cpp,0.88,585
src/slave/slave.cpp,0.88,450
3rdparty/libprocess/src/process.cpp,0.88,172
src/slave/containerizer/mesos/containerizer.cpp,0.88,107
src/slave/http.cpp,0.88,86
src/master/flags.hpp,0.88,71
src/messages/messages.proto,0.88,68
src/launcher/executor.cpp,0.88,64
3rdparty/libprocess/src/tests/process_tests.cpp,0.88,62
3rdparty/libprocess/3rdparty/stout/Makefile.am,0.88,58
src/tests/monitor_tests.cpp,0.88,39
src/slave/paths.hpp,0.88,37
src/slave/constants.cpp,0.88,35
src/tests/registrar_tests.cpp,0.88,32
src/tests/oversubscription_tests.cpp,0.88,32
src/master/validation.cpp,0.88,32
src/tests/containerizer_tests.cpp,0.88,32
src/tests/rate_limiting_tests.cpp,0.88,31
src/tests/containerizer/isolator_tests.cpp,0.88,30
src/tests/sorter_tests.cpp,0.88,26
3rdparty/libprocess/3rdparty/stout/include/stout/json.hpp,0.88,24
3rdparty/libprocess/include/process/subprocess.hpp,0.88,23
src/examples/balloon_framework.cpp,0.88,22
3rdparty/libprocess/3rdparty/stout/include/stout/strings.hpp,0.88,22
src/tests/containerizer/docker_containerizer_tests.cpp,0.88,22
src/slave/monitor.hpp,0.88,21
3rdparty/libprocess/3rdparty/stout/include/stout/option.hpp,0.88,20
src/health-check/main.cpp,0.88,17
3rdparty/libprocess/3rdparty/stout/tests/path_tests.cpp,0.88,14
src/master/allocator/sorter/drf/sorter.cpp,0.88,14
src/tests/paths_tests.cpp,0.88,14
src/tests/credentials_tests.cpp,0.88,14
3rdparty/libprocess/3rdparty/stout/include/stout/hashmap.hpp,0.88,13
3rdparty/libprocess/3rdparty/stout/README.md,0.88,12
src/slave/metrics.cpp,0.88,11
src/tests/scheduler_http_api_tests.cpp,0.88,11
3rdparty/libprocess/3rdparty/stout/include/stout/cache.hpp,0.88,11
3rdparty/libprocess/include/process/owned.hpp,0.88,11
3rdparty/libprocess/3rdparty/stout/include/stout/hashset.hpp,0.88,10
docs/committers.md,0.88,10
3rdparty/libprocess/3rdparty/stout/tests/os/signals_tests.cpp,0.88,8
3rdparty/libprocess/include/process/http.hpp,0.87,77
3rdparty/libprocess/Makefile.am,0.87,68
src/slave/state.cpp,0.87,56
src/slave/containerizer/mesos/containerizer.hpp,0.87,44
src/slave/state.hpp,0.87,33
3rdparty/libprocess/3rdparty/stout/include/stout/net.hpp,0.87,30
include/mesos/master/allocator.hpp,0.87,23
src/slave/paths.cpp,0.87,22
3rdparty/libprocess/include/process/event.hpp,0.87,20
3rdparty/libprocess/3rdparty/stout/tests/flags_tests.cpp,0.87,17
src/tests/values_tests.cpp,0.87,15
src/master/allocator/mesos/hierarchical.hpp,0.86,61
src/tests/isolator_tests.cpp,0.86,52
src/tests/master_authorization_tests.cpp,0.86,35
3rdparty/libprocess/3rdparty/stout/include/stout/flags/flags.hpp,0.86,27
src/tests/containerizer/port_mapping_tests.cpp,0.86,26
src/zookeeper/group.hpp,0.86,26
src/tests/fetcher_cache_tests.cpp,0.86,26
src/tests/master_validation_tests.cpp,0.86,22
3rdparty/libprocess/3rdparty/stout/include/stout/ip.hpp,0.86,20
src/slave/containerizer/external_containerizer.hpp,0.86,18
src/master/metrics.hpp,0.86,18
3rdparty/libprocess/3rdparty/stout/include/stout/path.hpp,0.86,18
src/tests/authentication_tests.cpp,0.86,16
3rdparty/libprocess/src/clock.cpp,0.86,16
3rdparty/libprocess/include/process/help.hpp,0.86,14
3rdparty/libprocess/3rdparty/stout/include/stout/duration.hpp,0.86,14
src/tests/metrics_tests.cpp,0.86,13
3rdparty/libprocess/include/Makefile.am,0.86,13
3rdparty/libprocess/3rdparty/stout/include/stout/try.hpp,0.86,12
3rdparty/libprocess/3rdparty/stout/include/stout/abort.hpp,0.86,11
src/slave/containerizer/composing.cpp,0.86,10
3rdparty/libprocess/3rdparty/stout/include/stout/os/fork.hpp,0.86,10
3rdparty/libprocess/3rdparty/stout/tests/option_tests.cpp,0.86,10
src/cli/resolve.cpp,0.86,10
src/credentials/credentials.hpp,0.86,10
src/tests/containerizer/docker_tests.cpp,0.86,10
src/python/interface/src/mesos/interface/__init__.py,0.86,9
docs/mesos-containerizer.md,0.86,9
src/tests/containerizer/provisioner_backend_tests.cpp,0.86,9
src/tests/containerizer/cgroups_tests.cpp,0.86,9
3rdparty/libprocess/include/process/time.hpp,0.86,9
src/examples/persistent_volume_framework.cpp,0.86,9
src/slave/metrics.hpp,0.86,9
3rdparty/libprocess/3rdparty/stout/include/stout/uuid.hpp,0.86,9
docs/fetcher-cache-internals.md,0.86,7
3rdparty/libprocess/3rdparty/stout/tests/linkedhashmap_tests.cpp,0.86,7
3rdparty/libprocess/3rdparty/stout/include/stout/os/posix/shell.hpp,0.86,7
3rdparty/libprocess/include/process/queue.hpp,0.86,7
3rdparty/libprocess/src/logging.cpp,0.86,7
docs/oversubscription.md,0.86,7
3rdparty/libprocess/3rdparty/stout/tests/hashset_tests.cpp,0.86,7
src/logging/flags.cpp,0.86,7
3rdparty/libprocess/3rdparty/stout/tests/some_tests.cpp,0.86,7
3rdparty/libprocess/include/process/mutex.hpp,0.86,7
src/tests/hierarchical_allocator_tests.cpp,0.85,72
3rdparty/libprocess/src/http.cpp,0.85,54
src/slave/monitor.cpp,0.85,33
src/docker/executor.cpp,0.85,22
src/tests/partition_tests.cpp,0.85,21
3rdparty/libprocess/include/process/collect.hpp,0.85,20
3rdparty/libprocess/src/tests/io_tests.cpp,0.85,19
3rdparty/libprocess/src/decoder.hpp,0.85,19
src/tests/authorization_tests.cpp,0.85,18
src/tests/repair_tests.cpp,0.85,14
src/common/parse.hpp,0.85,13
src/master/validation.hpp,0.85,13
support/apply-review.sh,0.85,12
src/tests/containerizer/provisioner_docker_tests.cpp,0.84,64
src/master/hierarchical_allocator_process.hpp,0.84,53
src/linux/cgroups.hpp,0.84,47
src/slave/containerizer/linux_launcher.cpp,0.84,37
src/tests/reservation_endpoints_tests.cpp,0.84,27
src/master/allocator/mesos/allocator.hpp,0.84,26
src/slave/containerizer/fetcher.cpp,0.84,26
src/linux/fs.cpp,0.84,21
src/tests/module.hpp,0.84,18
src/master/metrics.cpp,0.84,17
src/tests/master_slave_reconciliation_tests.cpp,0.84,15
3rdparty/libprocess/src/io.cpp,0.84,15
src/slave/containerizer/mesos/provisioner/docker/local_puller.cpp,0.84,15
src/state/log.cpp,0.84,11
src/master/detector.hpp,0.84,11
src/log/leveldb.cpp,0.84,11
docs/modules.md,0.84,11
src/tests/teardown_tests.cpp,0.84,11
src/examples/load_generator_framework.cpp,0.84,11
support/docker_build.sh,0.84,10
include/mesos/v1/scheduler/scheduler.proto,0.84,10
include/mesos/v1/resources.hpp,0.84,10
src/tests/registrar_zookeeper_tests.cpp,0.84,10
src/zookeeper/detector.cpp,0.84,10
3rdparty/libprocess/3rdparty/stout/include/stout/os/read.hpp,0.84,10
3rdparty/libprocess/include/process/protobuf.hpp,0.84,10
src/java/jni/org_apache_mesos_state_AbstractState.cpp,0.84,9
3rdparty/libprocess/include/process/system.hpp,0.84,9
3rdparty/libprocess/3rdparty/stout/tests/os/sendfile_tests.cpp,0.84,9
src/master/allocator/sorter/sorter.hpp,0.84,9
3rdparty/libprocess/3rdparty/stout/include/stout/flags/parse.hpp,0.84,9
3rdparty/libprocess/src/gate.hpp,0.84,8
3rdparty/libprocess/include/process/network.hpp,0.84,8
docs/operational-guide.md,0.84,8
3rdparty/libprocess/3rdparty/stout/include/stout/os/signals.hpp,0.84,8
docs/tools.md,0.84,8
3rdparty/libprocess/include/process/timer.hpp,0.84,8
3rdparty/libprocess/3rdparty/stout/include/stout/check.hpp,0.84,8
3rdparty/libprocess/3rdparty/stout/include/stout/foreach.hpp,0.84,8
docs/scheduler-http-api.md,0.84,8
3rdparty/libprocess/include/process/metrics/counter.hpp,0.84,8
src/slave/slave.hpp,0.8300000000000001,207
src/slave/containerizer/isolators/cgroups/mem.cpp,0.8300000000000001,40
src/examples/test_framework.cpp,0.8300000000000001,36
src/tests/hook_tests.cpp,0.8300000000000001,36
src/slave/containerizer/external_containerizer.cpp,0.8300000000000001,33
src/tests/script.cpp,0.8300000000000001,32
src/v1/resources.cpp,0.8300000000000001,22
src/examples/low_level_scheduler_libprocess.cpp,0.8300000000000001,22
src/examples/no_executor_framework.cpp,0.8300000000000001,19
3rdparty/libprocess/src/metrics/metrics.cpp,0.8300000000000001,15
src/tests/zookeeper.cpp,0.8300000000000001,15
3rdparty/libprocess/3rdparty/stout/tests/proc_tests.cpp,0.8300000000000001,13
src/logging/flags.hpp,0.8300000000000001,13
3rdparty/libprocess/3rdparty/stout/tests/strings_tests.cpp,0.8300000000000001,13
3rdparty/libprocess/src/tests/benchmarks.cpp,0.8300000000000001,12
3rdparty/libprocess/3rdparty/stout/include/stout/version.hpp,0.8300000000000001,11
3rdparty/libprocess/src/poll_socket.cpp,0.8300000000000001,11
3rdparty/libprocess/src/tests/owned_tests.cpp,0.8300000000000001,6
3rdparty/libprocess/include/process/timeout.hpp,0.8300000000000001,6
site/Rakefile,0.8300000000000001,6
3rdparty/libprocess/include/process/sequence.hpp,0.8300000000000001,6
src/tests/slave_recovery_tests.cpp,0.8200000000000001,144
src/docker/docker.cpp,0.8200000000000001,73
include/mesos/scheduler.hpp,0.8200000000000001,46
include/mesos/resources.hpp,0.8200000000000001,45
src/slave/containerizer/isolators/cgroups/cpushare.cpp,0.8200000000000001,39
src/tests/containerizer/filesystem_isolator_tests.cpp,0.8200000000000001,33
src/tests/reservation_tests.cpp,0.8200000000000001,30
src/tests/master_allocator_tests.cpp,0.8200000000000001,29
src/zookeeper/zookeeper.cpp,0.8200000000000001,29
src/java/src/org/apache/mesos/SchedulerDriver.java,0.8200000000000001,22
src/tests/examples_tests.cpp,0.8200000000000001,17
support/mesos-style.py,0.8200000000000001,17
src/jvm/jvm.cpp,0.8200000000000001,17
src/linux/fs.hpp,0.8200000000000001,16
bootstrap,0.8200000000000001,16
src/messages/messages.hpp,0.8200000000000001,12
src/master/registry.proto,0.8200000000000001,10
src/examples/docker_no_executor_framework.cpp,0.8200000000000001,10
3rdparty/libprocess/src/tests/main.cpp,0.8200000000000001,10
src/tests/environment.hpp,0.8200000000000001,10
src/cli/mesos.cpp,0.8200000000000001,10
3rdparty/libprocess/src/process_reference.hpp,0.8200000000000001,7
src/sched/constants.hpp,0.8200000000000001,7
src/sched/constants.cpp,0.8200000000000001,7
docs/mesos-developers-guide.md,0.8200000000000001,7
3rdparty/libprocess/3rdparty/stout/include/stout/os/windows/shell.hpp,0.8200000000000001,7
src/v1/values.cpp,0.8200000000000001,7
docs/networking-for-mesos-managed-containers.md,0.8200000000000001,7
docs/submitting-a-patch.md,0.8200000000000001,7
src/v1/mesos.cpp,0.8200000000000001,7
docs/reconciliation.md,0.8200000000000001,7
include/mesos/values.hpp,0.8200000000000001,7
3rdparty/libprocess/3rdparty/stout/tests/protobuf_tests.pb.h,0.8200000000000001,7
3rdparty/libprocess/src/tests/reap_tests.cpp,0.8200000000000001,7
