entity,n-revs
src/master/master.cpp,585
src/Makefile.am,526
src/slave/slave.cpp,450
src/master/master.hpp,329
src/tests/master_tests.cpp,214
src/slave/slave.hpp,207
src/master/http.cpp,204
configure.ac,189
include/mesos/mesos.proto,189
3rdparty/libprocess/src/process.cpp,172
src/sched/sched.cpp,171
src/tests/mesos.hpp,157
src/tests/slave_recovery_tests.cpp,144
src/tests/fault_tolerance_tests.cpp,140
src/tests/slave_tests.cpp,134
src/slave/flags.hpp,131
CHANGELOG,112
src/Makefile.in,109
src/slave/containerizer/mesos/containerizer.cpp,107
src/tests/mesos.cpp,103
src/slave/containerizer/docker.cpp,101
src/master/main.cpp,97
src/tests/utils.hpp,90
src/slave/http.cpp,86
3rdparty/libprocess/3rdparty/stout/include/stout/os.hpp,84
src/common/resources.cpp,82
src/exec/exec.cpp,80
src/linux/cgroups.cpp,80
src/local/local.cpp,79
3rdparty/libprocess/include/process/http.hpp,77
src/scheduler/scheduler.cpp,75
docs/configuration.md,75
src/slave/containerizer/isolators/network/port_mapping.cpp,75
docs/powered-by-mesos.md,74
src/slave/flags.cpp,74
src/docker/docker.cpp,73
src/tests/environment.cpp,73
src/master.cpp,73
src/tests/resources_tests.cpp,73
src/tests/allocator_tests.cpp,72
src/tests/hierarchical_allocator_tests.cpp,72
src/master/flags.hpp,71
3rdparty/libprocess/3rdparty/stout/include/Makefile.am,71
src/tests/docker_containerizer_tests.cpp,68
3rdparty/libprocess/Makefile.am,68
src/messages/messages.proto,68
src/tests/containerizer/provisioner_docker_tests.cpp,64
third_party/libprocess/src/process.cpp,64
src/tests/resource_offers_tests.cpp,64
src/slave/main.cpp,64
src/launcher/executor.cpp,64
docs/home.md,62
3rdparty/libprocess/src/tests/http_tests.cpp,62
src/CMakeLists.txt,62
3rdparty/libprocess/src/tests/process_tests.cpp,62
src/slave.cpp,61
src/master/allocator/mesos/hierarchical.hpp,61
src/tests/gc_tests.cpp,61
src/tests/cluster.hpp,60
3rdparty/libprocess/include/process/future.hpp,60
3rdparty/libprocess/3rdparty/stout/tests/os_tests.cpp,58
3rdparty/libprocess/3rdparty/Makefile.am,58
3rdparty/libprocess/3rdparty/stout/Makefile.am,58
src/tests/cgroups_tests.cpp,57
src/tests/log_tests.cpp,57
src/slave/state.cpp,56
docs/getting-started.md,55
3rdparty/libprocess/src/http.cpp,54
src/master/hierarchical_allocator_process.hpp,53
src/zookeeper/group.cpp,53
src/tests/isolator_tests.cpp,52
src/launcher/launcher.cpp,51
3rdparty/libprocess/configure.ac,50
src/tests/scheduler_tests.cpp,50
include/mesos/v1/mesos.proto,49
src/slave/constants.hpp,48
src/master/allocator/mesos/hierarchical.cpp,48
src/tests/main.cpp,47
src/linux/cgroups.hpp,47
src/webui/master/static/js/controllers.js,46
include/mesos/scheduler.hpp,46
include/mesos/resources.hpp,45
src/slave/containerizer/mesos/containerizer.hpp,44
src/tests/zookeeper_tests.cpp,44
src/common/protobuf_utils.cpp,44
src/common/type_utils.hpp,44
configure,43
docs/upgrades.md,43
src/common/http.cpp,43
src/slave/process_based_isolation_module.cpp,43
src/nexus_sched.cpp,42
src/docker/docker.hpp,42
src/tests/port_mapping_tests.cpp,41
src/slave/containerizer/containerizer.cpp,41
src/webui/master/static/home.html,41
src/tests/status_update_manager_tests.cpp,41
src/detector/detector.cpp,40
src/slave/containerizer/isolators/cgroups/mem.cpp,40
src/master/constants.hpp,40
src/tests/monitor_tests.cpp,39
src/examples/java/TestFramework.java,39
src/slave/containerizer/isolators/cgroups/cpushare.cpp,39
src/slave/containerizer/docker.hpp,39
src/files/files.cpp,38
src/slave/containerizer/isolators/network/port_mapping.hpp,38
src/launcher/fetcher.cpp,38
src/slave/paths.hpp,37
src/slave/cgroups_isolator.cpp,37
src/slave/containerizer/linux_launcher.cpp,37
src/examples/test_framework.cpp,36
src/master/registrar.cpp,36
support/post-reviews.py,36
src/tests/hook_tests.cpp,36
third_party/libprocess/Makefile.am,36
src/slave/constants.cpp,35
src/tests/master_authorization_tests.cpp,35
src/common/protobuf_utils.hpp,35
src/tests/state_tests.cpp,35
src/master_main.cpp,35
3rdparty/libprocess/include/process/socket.hpp,35
src/slave/status_update_manager.cpp,35
3rdparty/libprocess/3rdparty/stout/include/stout/protobuf.hpp,35
docs/mesos-c++-style-guide.md,34
src/tests/master_quota_tests.cpp,34
src/log/coordinator.cpp,34
src/examples/python/test_framework.py,34
src/slave/lxc_isolation_module.cpp,34
src/log/replica.cpp,34
src/slave/monitor.cpp,33
src/logging/logging.cpp,33
src/messages.hpp,33
src/tests/containerizer/filesystem_isolator_tests.cpp,33
src/slave/state.hpp,33
src/slave/containerizer/external_containerizer.cpp,33
src/webui/master/static/index.html,33
src/tests/master_maintenance_tests.cpp,32
src/tests/master_contender_detector_tests.cpp,32
src/tests/script.cpp,32
src/slave/status_update_manager.hpp,32
src/tests/allocator_zookeeper_tests.cpp,32
src/module/manager.cpp,32
src/tests/registrar_tests.cpp,32
src/tests/oversubscription_tests.cpp,32
src/master/validation.cpp,32
src/tests/containerizer_tests.cpp,32
3rdparty/libprocess/include/process/process.hpp,32
src/tests/test_master.cpp,31
src/slave/containerizer/mesos_containerizer.cpp,31
src/master/allocator.hpp,31
src/tests/health_check_tests.cpp,31
src/tests/routing_tests.cpp,31
src/slave/cgroups_isolation_module.cpp,31
ec2/mesos_ec2.py,31
src/master.hpp,31
src/slave/process_isolator.cpp,31
src/tests/rate_limiting_tests.cpp,31
src/third_party/libprocess/process.cpp,31
src/webui/master/static/framework.html,30
Makefile.am,30
src/master/flags.cpp,30
src/python/setup.py.in,30
src/tests/reservation_tests.cpp,30
3rdparty/libprocess/3rdparty/stout/include/stout/net.hpp,30
src/tests/fetcher_tests.cpp,30
src/tests/containerizer/isolator_tests.cpp,30
src/master/quota_handler.cpp,29
Makefile.in,29
3rdparty/libprocess/src/subprocess.cpp,29
src/common/type_utils.cpp,29
src/tests/master_allocator_tests.cpp,29
src/log/log.hpp,29
