entity,soc
configure.ac,25700
src/Makefile.in,18779
configure,18095
Makefile.in,14254
.gitignore,12396
src/Makefile.am,10540
src/tests/main.cpp,10171
frameworks/hadoop-0.20.0/src/mapred/org/apache/hadoop/mapred/MapOutputServer.java,8676
frameworks/hadoop-0.20.0/src/test/org/apache/hadoop/util/TestProcfsBasedProcessTree.java,8458
frameworks/hadoop-0.20.0/src/test/org/apache/hadoop/mapred/TestSpilledRecordsCounter.java,8458
frameworks/hadoop-0.20.0/src/test/org/apache/hadoop/mapred/TestEmptyJobWithDFS.java,8458
frameworks/hadoop-0.20.0/src/test/org/apache/hadoop/hdfs/TestDFSRename.java,8458
frameworks/hadoop-0.20.0/src/test/org/apache/hadoop/hdfs/TestDFSClientRetries.java,8458
frameworks/hadoop-0.20.0/src/test/org/apache/hadoop/conf/TestJobConf.java,8458
frameworks/hadoop-0.20.0/src/docs/src/documentation/content/xdocs/capacity_scheduler.xml,8458
frameworks/hadoop-0.20.0/src/docs/releasenotes.html,8458
frameworks/hadoop-0.20.0/src/core/org/apache/hadoop/fs/LengthFileChecksum.java,8458
frameworks/hadoop-0.20.0/src/contrib/streaming/src/test/org/apache/hadoop/streaming/TestSymLink.java,8458
frameworks/hadoop-0.20.0/src/contrib/streaming/src/test/org/apache/hadoop/streaming/TestMultipleCachefiles.java,8458
frameworks/hadoop-0.20.0/src/contrib/capacity-scheduler/src/java/org/apache/hadoop/mapred/MemoryMatcher.java,8458
frameworks/hadoop-0.20.0/src/contrib/capacity-scheduler/src/java/org/apache/hadoop/mapred/CapacityTaskScheduler.java,8458
frameworks/hadoop-0.20.0/lr.jar,8458
frameworks/hadoop-0.20.0/lib/commons-cli-2.0-SNAPSHOT.jar,8458
src/python/setup.py.in,8446
src/webui/master/index.tpl,8366
src/webui/master/framework.tpl,7984
src/webui/slave/framework.tpl,7854
src/webui/slave/webui.py,7769
src/webui/master/webui.py,7764
src/webui/master/swig/master.i,7555
src/webui/slave/index.tpl,7496
src/webui/static/stylesheet.css,7476
frameworks/mpi/nmpiexec.py,7422
frameworks/mpi/startmpd.py,7421
src/webui/slave/swig/slave.i,7350
frameworks/mpi/startmpd.sh,7192
frameworks/mpi/nmpiexec,7192
src/tests/test_master.cpp,7061
src/webui/common/webui_lib.py,6946
src/slave.cpp,6897
src/master.cpp,6875
LICENSE,6839
src/master.hpp,6733
third_party/Makefile.am,6715
src/messages.hpp,6707
src/master_main.cpp,6704
src/slave.hpp,6701
src/slave_main.cpp,6672
src/tests/test_resources.cpp,6647
src/lxc_isolation_module.cpp,6635
src/process_based_isolation_module.cpp,6630
src/local.cpp,6611
README,6611
src/master_webui.cpp,6600
src/slave_webui.cpp,6596
src/swig/java/TestFramework.java,6591
src/messages.cpp,6584
frameworks/haproxy+apache/haproxy+apache.py,6572
frameworks/haproxy+apache/startapache.py,6571
src/test_framework.cpp,6570
src/simple_allocator.cpp,6568
src/lxc_isolation_module.hpp,6563
src/memhog_executor.cpp,6562
src/cpp_test_framework.cpp,6561
src/config.hpp.in,6560
src/projd.cpp,6557
